"height","width","aratio","local"
"60","468","7.8","0"
"60","120","2.0","1"
"60","120","2.0","1"
"60","468","7.8","0"
"60","120","2.0","1"
"477","129","0.2704","1"
"125","125","1.0","0"
"65","125","1.9230","0"
"477","129","0.2704","1"
"125","125","1.0","0"
"60","468","7.8","0"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","0"
"70","470","6.7142","0"
"60","468","7.8","0"
"60","468","7.8","1"
"60","468","7.8","1"
"60","43","0.7166","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"?","?","?","1"
"?","?","?","1"
"60","468","7.8","0"
"?","?","?","1"
"90","60","0.6666","1"
"60","468","7.8","1"
"60","88","1.4666","1"
"60","468","7.8","0"
"?","?","?","1"
"105","225","2.1428","0"
"?","?","?","1"
"33","230","6.9696","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","0"
"?","?","?","0"
"?","?","?","0"
"?","?","?","0"
"?","?","?","0"
"?","?","?","0"
"60","468","7.8","1"
"124","120","0.9677","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"125","125","1.0","0"
"125","125","1.0","0"
"?","?","?","1"
"40","400","10.0","1"
"50","400","8.0","1"
"60","468","7.8","1"
"60","468","7.8","1"
"40","400","10.0","1"
"60","468","7.8","1"
"60","468","7.8","1"
"40","400","10.0","0"
"60","468","7.8","1"
"?","?","?","1"
"60","468","7.8","1"
"60","468","7.8","1"
"45","345","7.6666","1"
"31","90","2.9032","1"
"60","150","2.5","1"
"50","400","8.0","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"?","?","?","1"
"55","460","8.3636","1"
"?","?","?","0"
"?","?","?","1"
"88","520","5.9090","0"
"240","120","0.5","0"
"?","?","?","1"
"60","468","7.8","1"
"55","460","8.3636","1"
"?","?","?","0"
"?","?","?","1"
"?","?","?","1"
"?","?","?","0"
"51","433","8.4901","0"
"?","?","?","1"
"40","100","2.5","0"
"60","468","7.8","1"
"60","468","7.8","1"
"?","?","?","1"
"50","400","8.0","1"
"60","468","7.8","1"
"50","400","8.0","0"
"60","468","7.8","0"
"60","468","7.8","1"
"59","164","2.7796","1"
"60","468","7.8","1"
"?","?","?","0"
"55","460","8.3636","1"
"33","230","6.9696","1"
"90","215","2.3888","1"
"?","?","?","1"
"?","?","?","1"
"100","510","5.1","1"
"60","468","7.8","1"
"72","392","5.4444","1"
"?","?","?","1"
"68","612","9.0","1"
"171","227","1.3274","0"
"60","440","7.3333","1"
"60","130","2.1666","1"
"60","430","7.1666","1"
"60","468","7.8","1"
"50","400","8.0","1"
"60","468","7.8","1"
"60","468","7.8","1"
"55","460","8.3636","1"
"?","?","?","1"
"60","468","7.8","1"
"?","?","?","0"
"?","?","?","1"
"60","468","7.8","1"
"?","?","?","1"
"60","468","7.8","1"
"?","?","?","1"
"60","468","7.8","1"
"71","164","2.3098","1"
"29","148","5.1034","1"
"60","280","4.6666","1"
"90","90","1.0","1"
"38","264","6.9473","1"
"55","416","7.5636","1"
"60","150","2.5","1"
"36","216","6.0","1"
"72","144","2.0","1"
"60","468","7.8","1"
"50","150","3.0","1"
"50","150","3.0","1"
"50","150","3.0","1"
"60","468","7.8","1"
"?","?","?","0"
"?","?","?","1"
"50","150","3.0","1"
"60","468","7.8","1"
"40","400","10.0","1"
"60","468","7.8","1"
"?","?","?","1"
"?","?","?","1"
"46","109","2.3695","1"
"12","57","4.75","1"
"95","150","1.5789","0"
"?","?","?","0"
"?","?","?","1"
"30","130","4.3333","1"
"35","36","1.0285","0"
"80","92","1.15","1"
"20","90","4.5","1"
"41","239","5.8292","1"
"96","218","2.2708","1"
"16","16","1.0","1"
"46","109","2.3695","1"
"?","?","?","1"
"150","225","1.5","0"
"159","209","1.3144","1"
"20","90","4.5","1"
"?","?","?","1"
"12","117","9.75","1"
"110","111","1.0090","1"
"161","220","1.3664","0"
"?","?","?","1"
"12","234","19.5","1"
"16","16","1.0","1"
"?","?","?","1"
"15","?","?","1"
"100","100","1.0","0"
"195","288","1.4769","1"
"11","96","8.7272","1"
"50","50","1.0","1"
"114","140","1.2280","1"
"50","58","1.16","1"
"20","90","4.5","1"
"?","?","?","1"
"60","234","3.9","1"
"?","?","?","1"
"30","130","4.3333","1"
"?","?","?","1"
"160","199","1.2437","1"
"63","110","1.7460","0"
"134","184","1.3731","0"
"?","?","?","1"
"135","106","0.7851","1"
"40","50","1.25","1"
"?","?","?","1"
"52","144","2.7692","1"
"24","75","3.125","1"
"31","88","2.8387","1"
"30","130","4.3333","1"
"95","64","0.6736","1"
"?","?","?","1"
"62","88","1.4193","1"
"106","183","1.7264","0"
"200","250","1.25","1"
"20","116","5.8","1"
"51","35","0.6862","1"
"16","16","1.0","1"
"39","120","3.0769","1"
"30","130","4.3333","1"
"55","58","1.0545","0"
"?","?","?","1"
"40","46","1.15","1"
"?","?","?","1"
"11","89","8.0909","1"
"?","?","?","1"
"60","117","1.95","1"
"51","35","0.6862","1"
"52","144","2.7692","1"
"?","?","?","0"
"?","?","?","1"
"30","130","4.3333","1"
"90","120","1.3333","0"
"115","205","1.7826","0"
"50","93","1.86","1"
"25","100","4.0","0"
"?","?","?","1"
"?","?","?","1"
"75","200","2.6666","1"
"50","45","0.9","1"
"60","60","1.0","1"
"12","101","8.4166","1"
"10","600","60.0","1"
"207","200","0.9661","1"
"46","109","2.3695","1"
"32","32","1.0","1"
"27","41","1.5185","1"
"?","?","?","0"
"11","64","5.8181","1"
"43","178","4.1395","1"
"?","?","?","1"
"16","16","1.0","1"
"48","264","5.5","1"
"46","109","2.3695","1"
"150","250","1.6666","0"
"107","120","1.1214","0"
"51","260","5.0980","1"
"71","95","1.3380","1"
"?","?","?","1"
"36","227","6.3055","0"
"60","51","0.85","1"
"?","?","?","0"
"20","200","10.0","0"
"30","130","4.3333","1"
"?","?","?","0"
"60","60","1.0","1"
"?","?","?","1"
"?","?","?","1"
"31","88","2.8387","1"
"100","?","?","1"
"30","130","4.3333","1"
"52","144","2.7692","1"
"12","101","8.4166","1"
"16","16","1.0","1"
"?","?","?","0"
"75","95","1.2666","1"
"?","?","?","1"
"25","100","4.0","1"
"?","?","?","0"
"40","40","1.0","0"
"?","?","?","1"
"40","130","3.25","1"
"?","?","?","1"
"120","200","1.6666","0"
"28","74","2.6428","0"
"125","125","1.0","1"
"23","26","1.1304","1"
"100","?","?","0"
"31","88","2.8387","1"
"60","468","7.8","0"
"52","144","2.7692","1"
"?","?","?","1"
"?","?","?","0"
"?","?","?","1"
"11","64","5.8181","1"
"60","140","2.3333","1"
"?","?","?","0"
"41","239","5.8292","1"
"?","?","?","1"
"100","100","1.0","0"
"23","30","1.3043","0"
"?","?","?","1"
"40","40","1.0","0"
"125","125","1.0","1"
"161","119","0.7391","0"
"51","35","0.6862","1"
"?","?","?","1"
"10","600","60.0","1"
"27","41","1.5185","1"
"?","?","?","1"
"120","200","1.6666","0"
"?","?","?","1"
"52","299","5.75","1"
"?","?","?","0"
"?","?","?","1"
"75","95","1.2666","1"
"12","117","9.75","1"
"54","239","4.4259","0"
"102","179","1.7549","0"
"?","?","?","1"
"23","30","1.3043","0"
"149","182","1.2214","0"
"16","162","10.125","0"
"?","?","?","1"
"62","148","2.3870","1"
"40","46","1.15","1"
"150","75","0.5","0"
"46","100","2.1739","1"
"46","109","2.3695","1"
"125","125","1.0","0"
"119","150","1.2605","0"
"11","96","8.7272","1"
"?","?","?","0"
"76","108","1.4210","0"
"79","150","1.8987","1"
"?","?","?","1"
"158","108","0.6835","0"
"154","231","1.5","0"
"100","100","1.0","0"
"51","35","0.6862","1"
"8","82","10.25","1"
"46","100","2.1739","1"
"33","124","3.7575","?"
"153","186","1.2156","0"
"46","184","4.0","1"
"?","?","?","1"
"?","?","?","1"
"46","109","2.3695","1"
"150","250","1.6666","1"
"11","89","8.0909","1"
"?","?","?","0"
"52","144","2.7692","1"
"?","?","?","1"
"134","184","1.3731","0"
"?","?","?","1"
"32","260","8.125","1"
"23","30","1.3043","0"
"40","40","1.0","1"
"83","150","1.8072","1"
"174","152","0.8735","1"
"156","242","1.5512","0"
"25","100","4.0","1"
"?","?","?","1"
"?","?","?","1"
"46","100","2.1739","1"
"128","200","1.5625","0"
"14","30","2.1428","1"
"?","?","?","1"
"20","92","4.6","1"
"172","139","0.8081","0"
"23","30","1.3043","0"
"12","57","4.75","1"
"27","218","8.0740","1"
"75","95","1.2666","1"
"?","?","?","1"
"104","104","1.0","0"
"?","?","?","1"
"40","40","1.0","0"
"16","16","1.0","1"
"?","?","?","1"
"146","141","0.9657","1"
"65","110","1.6923","0"
"90","64","0.7111","0"
"154","125","0.8116","0"
"?","?","?","1"
"11","94","8.5454","1"
"50","45","0.9","0"
"79","150","1.8987","1"
"?","?","?","1"
"?","?","?","0"
"?","?","?","1"
"?","?","?","0"
"?","?","?","1"
"28","140","5.0","1"
"?","?","?","1"
"?","?","?","0"
"?","?","?","1"
"11","96","8.7272","1"
"?","?","?","1"
"11","89","8.0909","1"
"98","156","1.5918","1"
"?","?","?","0"
"28","150","5.3571","1"
"23","30","1.3043","0"
"26","163","6.2692","1"
"?","?","?","0"
"144","124","0.8611","0"
"?","?","?","1"
"175","148","0.8457","1"
"?","?","?","1"
"20","92","4.6","1"
"40","40","1.0","0"
"23","30","1.3043","0"
"11","94","8.5454","1"
"116","200","1.7241","0"
"79","150","1.8987","1"
"145","148","1.0206","1"
"150","200","1.3333","0"
"20","10","0.5","1"
"160","238","1.4875","1"
"?","?","?","1"
"100","100","1.0","1"
"12","102","8.5","1"
"16","16","1.0","1"
"46","100","2.1739","1"
"?","?","?","1"
"?","?","?","0"
"12","101","8.4166","1"
"98","198","2.0204","0"
"?","?","?","1"
"?","?","?","1"
"?","?","?","0"
"60","120","2.0","1"
"99","144","1.4545","1"
"12","86","7.1666","1"
"31","88","2.8387","0"
"?","?","?","1"
"25","100","4.0","1"
"12","102","8.5","1"
"220","220","1.0","0"
"25","100","4.0","1"
"60","150","2.5","1"
"46","100","2.1739","1"
"120","105","0.875","1"
"?","?","?","1"
"?","?","?","1"
"40","230","5.75","0"
"36","40","1.1111","1"
"?","?","?","1"
"25","100","4.0","1"
"200","242","1.21","1"
"93","150","1.6129","1"
"16","16","1.0","1"
"?","?","?","0"
"?","?","?","1"
"?","?","?","0"
"?","?","?","1"
"12","57","4.75","1"
"?","?","?","0"
"185","122","0.6594","0"
"50","50","1.0","1"
"34","113","3.3235","1"
"25","100","4.0","1"
"31","88","2.8387","0"
"16","16","1.0","1"
"40","40","1.0","0"
"12","86","7.1666","1"
"25","124","4.96","1"
"?","?","?","1"
"239","147","0.6150","0"
"?","?","?","1"
"?","?","?","0"
"?","?","?","1"
"?","?","?","1"
"23","58","2.5217","1"
"29","100","3.4482","1"
"20","151","7.55","1"
"102","179","1.7549","0"
"24","236","9.8333","1"
"?","?","?","1"
"16","16","1.0","1"
"12","57","4.75","1"
"?","?","?","1"
"140","172","1.2285","1"
"262","225","0.8587","0"
"21","133","6.3333","1"
"?","?","?","1"
"16","16","1.0","1"
"11","89","8.0909","1"
"?","?","?","1"
"?","?","?","1"
"135","125","0.9259","1"
"20","10","0.5","1"
"102","179","1.7549","0"
"142","198","1.3943","1"
"12","98","8.1666","1"
"?","?","?","1"
"?","?","?","0"
"12","101","8.4166","1"
"11","96","8.7272","1"
"142","198","1.3943","1"
"20","92","4.6","1"
"16","16","1.0","1"
"54","100","1.8518","1"
"191","144","0.7539","0"
"?","?","?","1"
"23","127","5.5217","1"
"22","150","6.8181","1"
"?","?","?","1"
"20","92","4.6","1"
"120","120","1.0","1"
"?","50","?","1"
"?","?","?","0"
"20","134","6.7","1"
"?","?","?","1"
"31","88","2.8387","0"
"11","94","8.5454","1"
"23","127","5.5217","1"
"87","94","1.0804","0"
"?","?","?","1"
"25","100","4.0","1"
"?","?","?","1"
"?","?","?","1"
"142","198","1.3943","1"
"20","10","0.5","1"
"25","100","4.0","1"
"23","26","1.1304","1"
"?","?","?","0"
"257","190","0.7392","1"
"?","?","?","1"
"134","184","1.3731","0"
"120","120","1.0","1"
"66","170","2.5757","1"
"11","64","5.8181","1"
"32","32","1.0","1"
"?","?","?","1"
"?","?","?","1"
"154","231","1.5","0"
"120","120","1.0","1"
"10","600","60.0","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"108","120","1.1111","0"
"?","?","?","1"
"?","?","?","1"
"?","?","?","0"
"200","150","0.75","0"
"44","110","2.5","1"
"?","?","?","1"
"?","?","?","1"
"12","86","7.1666","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"75","150","2.0","1"
"?","?","?","1"
"?","?","?","1"
"51","209","4.0980","1"
"16","16","1.0","1"
"12","101","8.4166","1"
"25","100","4.0","1"
"?","?","?","1"
"?","?","?","1"
"359","243","0.6768","1"
"?","?","?","1"
"?","?","?","1"
"12","102","8.5","1"
"21","112","5.3333","1"
"?","?","?","1"
"15","15","1.0","1"
"?","?","?","1"
"140","140","1.0","0"
"115","159","1.3826","0"
"50","200","4.0","0"
"175","158","0.9028","1"
"90","90","1.0","0"
"12","102","8.5","1"
"?","?","?","1"
"85","237","2.7882","1"
"75","150","2.0","1"
"132","200","1.5151","0"
"120","120","1.0","1"
"?","?","?","1"
"237","?","?","1"
"131","122","0.9312","0"
"57","37","0.6491","0"
"96","122","1.2708","1"
"12","101","8.4166","1"
"58","150","2.5862","1"
"50","82","1.64","0"
"76","146","1.9210","1"
"16","16","1.0","1"
"78","101","1.2948","1"
"?","?","?","1"
"90","90","1.0","0"
"125","125","1.0","0"
"?","?","?","1"
"12","101","8.4166","1"
"90","109","1.2111","1"
"33","224","6.7878","1"
"?","?","?","0"
"?","?","?","1"
"23","26","1.1304","1"
"?","42","?","1"
"?","?","?","0"
"149","182","1.2214","0"
"31","88","2.8387","0"
"16","16","1.0","1"
"75","150","2.0","1"
"120","120","1.0","1"
"114","110","0.9649","0"
"35","126","3.6","1"
"?","?","?","1"
"32","32","1.0","1"
"75","150","2.0","1"
"50","50","1.0","0"
"?","75","?","1"
"96","135","1.4062","1"
"212","201","0.9481","0"
"60","95","1.5833","0"
"50","50","1.0","0"
"75","150","2.0","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","0"
"11","94","8.5454","1"
"?","?","?","1"
"31","88","2.8387","0"
"120","120","1.0","1"
"?","?","?","1"
"35","126","3.6","0"
"95","80","0.8421","1"
"40","40","1.0","1"
"108","203","1.8796","1"
"11","96","8.7272","1"
"?","?","?","0"
"25","25","1.0","1"
"64","64","1.0","1"
"35","126","3.6","1"
"18","191","10.6111","1"
"40","140","3.5","0"
"11","89","8.0909","1"
"140","140","1.0","0"
"123","137","1.1138","1"
"108","229","2.1203","1"
"?","?","?","0"
"92","96","1.0434","0"
"12","57","4.75","1"
"31","88","2.8387","0"
"?","?","?","1"
"?","?","?","1"
"96","135","1.4062","1"
"54","90","1.6666","0"
"146","141","0.9657","1"
"?","?","?","1"
"90","90","1.0","0"
"75","150","2.0","1"
"65","95","1.4615","1"
"16","16","1.0","1"
"90","90","1.0","0"
"75","234","3.12","0"
"?","?","?","1"
"148","200","1.3513","0"
"?","?","?","1"
"?","?","?","1"
"35","156","4.4571","1"
"?","?","?","1"
"?","?","?","1"
"92","255","2.7717","0"
"60","67","1.1166","1"
"36","41","1.1388","0"
"?","?","?","0"
"43","140","3.2558","0"
"?","?","?","1"
"16","16","1.0","1"
"?","?","?","1"
"70","50","0.7142","0"
"100","160","1.6","0"
"?","?","?","1"
"90","90","1.0","0"
"?","?","?","1"
"43","140","3.2558","0"
"35","126","3.6","1"
"11","11","1.0","1"
"11","94","8.5454","1"
"?","?","?","1"
"40","46","1.15","1"
"84","73","0.8690","1"
"?","?","?","1"
"?","?","?","1"
"133","120","0.9022","1"
"?","?","?","1"
"11","11","1.0","0"
"154","196","1.2727","1"
"?","?","?","0"
"90","90","1.0","0"
"41","239","5.8292","1"
"125","250","2.0","0"
"31","88","2.8387","1"
"?","?","?","1"
"152","116","0.7631","1"
"20","92","4.6","1"
"?","?","?","1"
"?","?","?","1"
"90","90","1.0","0"
"?","?","?","1"
"11","11","1.0","1"
"20","400","20.0","0"
"145","162","1.1172","1"
"48","264","5.5","1"
"11","64","5.8181","1"
"11","11","1.0","1"
"152","116","0.7631","1"
"70","59","0.8428","1"
"35","126","3.6","1"
"40","40","1.0","1"
"20","150","7.5","0"
"21","21","1.0","1"
"35","126","3.6","1"
"131","196","1.4961","1"
"40","46","1.15","1"
"12","101","8.4166","1"
"100","?","?","0"
"?","?","?","1"
"?","?","?","1"
"69","75","1.0869","1"
"100","?","?","0"
"94","185","1.9680","1"
"40","46","1.15","1"
"20","150","7.5","0"
"82","77","0.9390","1"
"78","101","1.2948","1"
"?","?","?","1"
"20","10","0.5","1"
"?","?","?","1"
"12","101","8.4166","1"
"?","?","?","1"
"40","46","1.15","1"
"?","?","?","1"
"214","150","0.7009","0"
"?","?","?","1"
"110","176","1.6","1"
"90","127","1.4111","0"
"?","?","?","1"
"23","26","1.1304","1"
"48","48","1.0","1"
"?","?","?","1"
"32","32","1.0","1"
"11","64","5.8181","1"
"49","67","1.3673","1"
"50","50","1.0","0"
"?","70","?","1"
"48","75","1.5625","1"
"152","116","0.7631","1"
"?","?","?","1"
"36","38","1.0555","1"
"16","106","6.625","0"
"?","?","?","1"
"?","?","?","1"
"44","404","9.1818","0"
"80","200","2.5","1"
"16","106","6.625","0"
"100","?","?","0"
"75","59","0.7866","1"
"90","90","1.0","0"
"40","40","1.0","0"
"20","92","4.6","?"
"?","?","?","1"
"28","140","5.0","1"
"35","156","4.4571","1"
"51","75","1.4705","1"
"20","10","0.5","1"
"15","15","1.0","1"
"152","116","0.7631","1"
"60","75","1.25","1"
"?","?","?","1"
"100","100","1.0","0"
"90","90","1.0","0"
"23","30","1.3043","0"
"120","100","0.8333","0"
"?","?","?","0"
"61","194","3.1803","?"
"30","36","1.2","1"
"133","161","1.2105","1"
"31","88","2.8387","0"
"72","73","1.0138","1"
"?","?","?","1"
"57","89","1.5614","1"
"?","?","?","1"
"119","250","2.1008","1"
"40","40","1.0","0"
"21","100","4.7619","1"
"87","102","1.1724","0"
"78","101","1.2948","1"
"85","66","0.7764","1"
"20","84","4.2","1"
"16","130","8.125","1"
"20","10","0.5","?"
"45","63","1.4","1"
"?","?","?","1"
"16","16","1.0","1"
"?","?","?","1"
"64","158","2.4687","0"
"62","128","2.0645","1"
"?","?","?","1"
"40","40","1.0","0"
"23","26","1.1304","1"
"?","?","?","1"
"154","231","1.5","0"
"29","60","2.0689","0"
"40","40","1.0","1"
"15","15","1.0","1"
"96","466","4.8541","0"
"?","?","?","1"
"?","?","?","1"
"100","102","1.02","1"
"12","101","8.4166","1"
"?","?","?","1"
"16","130","8.125","1"
"?","?","?","1"
"115","150","1.3043","0"
"31","88","2.8387","0"
"?","200","?","1"
"16","120","7.5","0"
"50","400","8.0","0"
"?","?","?","1"
"89","83","0.9325","1"
"?","?","?","0"
"44","38","0.8636","1"
"?","?","?","1"
"56","56","1.0","1"
"193","180","0.9326","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"71","61","0.8591","1"
"?","?","?","1"
"?","?","?","1"
"51","161","3.1568","0"
"62","128","2.0645","1"
"?","?","?","1"
"?","?","?","0"
"71","71","1.0","1"
"31","88","2.8387","0"
"134","184","1.3731","0"
"?","?","?","1"
"65","110","1.6923","0"
"?","?","?","1"
"61","161","2.6393","0"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"52","52","1.0","1"
"65","110","1.6923","0"
"?","?","?","1"
"31","88","2.8387","0"
"?","?","?","1"
"12","101","8.4166","1"
"27","41","1.5185","1"
"115","212","1.8434","1"
"11","89","8.0909","1"
"51","161","3.1568","1"
"16","106","6.625","1"
"?","?","?","1"
"51","225","4.4117","1"
"60","202","3.3666","1"
"16","130","8.125","1"
"?","?","?","1"
"125","125","1.0","0"
"44","110","2.5","1"
"?","?","?","1"
"?","?","?","1"
"51","161","3.1568","0"
"74","74","1.0","1"
"16","130","8.125","1"
"?","?","?","1"
"?","?","?","1"
"72","72","1.0","1"
"77","77","1.0","0"
"?","?","?","1"
